classname;" ""numberOfBugs""";" ""CvsEntropy"" ";" ""CvsWEntropy"" ";" ""CvsLinEntropy"" ";" ""CvsLogEntropy"" ";" ""CvsExpEntropy"""
org::eclipse::jdt::internal::core::search::indexing::IndexBinaryFolder;0;109.131; 0.00830197 ; 0.0147667 ; 0.253257 ; 0.00112474
org::eclipse::jdt::internal::compiler::codegen::CachedIndexEntry;0;110.349;6.57E+01; 0.00188573 ; 0.027116 ;3.51E+01
org::eclipse::jdt::internal::compiler::ast::ASTNode;1;378.606; 0.228509 ; 0.10618 ;10.284; 0.210412
org::eclipse::jdt::internal::compiler::lookup::MemberTypeBinding;0;586.013; 0.00910478 ; 0.0101128 ; 0.14368 ; 0.0034853
org::eclipse::jdt::internal::eval::CodeSnippetParser;0;13.596; 0.0160054 ; 0.0257509 ; 0.338602 ; 0.0213775
org::eclipse::jdt::internal::formatter::Location;0;455.853; 0.00199999 ; 0.00548106 ; 0.103103 ;1.27E+01
org::eclipse::jdt::core::dom::SingleMemberAnnotation;0;559.671; 0.00395051 ; 0.149865 ;807.898; 0.23097
org::eclipse::jdt::internal::compiler::parser::NLSTag;0;498.774; 0.00385486 ; 0.00788835 ; 0.120148 ; 0.0012199
org::eclipse::jdt::internal::compiler::parser::RecoveredBlock;0; 11.93 ; 0.0397218 ; 0.170703 ;825.875; 0.27893
org::eclipse::jdt::internal::core::CompilationUnitElementInfo;0;107.711; 0.00781561 ; 0.131699 ;815.155; 0.169684
org::eclipse::jdt::core::dom::MemberRef;0;670.304; 0.00381663 ; 0.152618 ;810.942; 0.231938
org::eclipse::jdt::internal::core::util::Annotation;0;407.501; 0.00220824 ; 0.0062193 ; 0.097153 ; 0.00103086
org::eclipse::jdt::internal::codeassist::select::SelectionOnQualifiedNameReference;0;673.444; 0.00389127 ; 0.132755 ;807.051; 0.197855
org::eclipse::jdt::internal::compiler::flow::LoopingFlowContext;0;100.952; 0.0550803 ; 0.0225858 ; 0.262712 ; 0.0240387
org::eclipse::jdt::internal::core::util::KeyKind;0;104.506; 0.0182484 ; 0.133647 ;814.963; 0.182548
org::eclipse::jdt::core::dom::ChildListPropertyDescriptor;0;670.304; 0.00406141 ; 0.152618 ;810.942; 0.231938
org::eclipse::jdt::internal::compiler::ast::TypeDeclaration;3;377.605; 0.264394 ; 0.222874 ;891.639; 0.371919
org::eclipse::jdt::core::dom::ASTRequestor;0;296.868; 0.00114952 ; 0.0034669 ; 0.0667091 ;6.30E+00
org::eclipse::jdt::internal::core::search::AbstractJavaSearchScope;0;0;0;0;0;0
org::eclipse::jdt::core::search::SearchPattern;1;28.279; 0.884194 ; 0.0785823 ; 0.764092 ; 0.165991
org::eclipse::jdt::core::jdom::DOMFactory;0;822.982; 0.00609829 ; 0.154538 ;814.431; 0.231997
org::eclipse::jdt::internal::core::util::SignatureAttribute;0;407.501; 0.00220824 ; 0.0062193 ; 0.097153 ; 0.00103086
org::eclipse::jdt::internal::core::BinaryMember;1;157.424; 0.0310248 ; 0.149122 ;829.536; 0.216848
org::eclipse::jdt::internal::compiler::ast::MessageSend;4;30.738; 0.109581 ; 0.197734 ;87.181; 0.317602
org::eclipse::jdt::internal::core::XMLWriter;0;105.335; 0.0340213 ; 0.0166018 ; 0.252483 ; 0.00498488
org::eclipse::jdt::internal::compiler::parser::JavadocParser;3;242.321; 0.124182 ; 0.0943869 ; 0.704466 ; 0.193358
org::eclipse::jdt::internal::eval::CodeSnippetSingleNameReference;2;178.868; 0.0596056 ; 0.184833 ;841.605; 0.337749
org::eclipse::jdt::internal::compiler::parser::RecoveredInitializer;0;102.069; 0.0394717 ; 0.171941 ;822.695; 0.299491
org::eclipse::jdt::internal::core::util::WeakHashSetOfCharArray;0;227.054; 0.00171284 ; 0.00387962 ; 0.0557912 ;7.24E+01
org::eclipse::jdt::internal::compiler::ast::Expression;0;336.845; 0.638785 ; 0.210199 ;879.785; 0.334186
org::eclipse::jdt::internal::compiler::classfmt::MethodInfoWithAnnotations;0;106.049;6.78E+01; 0.00371141 ; 0.0316289 ; 0.00673218
org::eclipse::jdt::internal::core::util::ConstantPool;0;407.501; 0.00220824 ; 0.0062193 ; 0.097153 ; 0.00103086
org::eclipse::jdt::internal::compiler::ast::ArrayTypeReference;0;673.444; 0.00399605 ; 0.132755 ;807.051; 0.197855
org::eclipse::jdt::internal::compiler::impl::IntConstant;0;677.104; 0.00888686 ; 0.0101348 ; 0.160922 ; 0.00120756
org::eclipse::jdt::internal::core::search::matching::SuperTypeReferencePattern;1;12.566; 0.0182439 ; 0.1376 ;820.489; 0.177692
org::eclipse::jdt::internal::codeassist::complete::CompletionOnQualifiedAllocationExpression;0;407.501; 0.00220824 ; 0.0062193 ; 0.097153 ; 0.00103086
org::eclipse::jdt::core::dom::SuperFieldAccess;0;795.479; 0.00397769 ; 0.154542 ;81.394; 0.232145
org::eclipse::jdt::internal::core::ExternalPackageFragmentRoot;0;227.131; 0.00266082 ; 0.041741 ; 0.134373 ; 0.141951
org::eclipse::jdt::internal::compiler::lookup::MethodScope;2;148.368; 0.135188 ; 0.0280398 ; 0.367434 ; 0.0304744
org::eclipse::jdt::internal::compiler::CompilationResult;1;236.109; 0.153622 ; 0.170381 ;85.032; 0.243506
org::eclipse::jdt::internal::core::util::KeyToSignature;0;143.292; 0.0621304 ; 0.0250814 ; 0.349752 ; 0.0189098
org::eclipse::jdt::internal::core::jdom::DOMType;0;120.518; 0.00989231 ; 0.0193642 ; 0.290484 ; 0.0051789
org::eclipse::jdt::internal::compiler::ast::ForStatement;0;164.642; 0.0287867 ; 0.0286204 ; 0.403196 ; 0.0152769
org::eclipse::jdt::internal::compiler::lookup::MissingTypeBinding;0;147.165; 0.0013687 ; 0.112489 ;791.776; 0.140566
org::eclipse::jdt::internal::compiler::ast::TrueLiteral;0;72.883; 0.00322632 ; 0.0120812 ; 0.177191 ; 0.00316137
org::eclipse::jdt::internal::codeassist::complete::CompletionOnKeyword3;0;693.237; 0.00313282 ; 0.00985736 ; 0.162632 ; 0.00115402
org::eclipse::jdt::internal::formatter::FormatJavadocText;0;169.533; 0.0394985 ; 0.0446887 ; 0.127957 ; 0.126468
org::eclipse::jdt::internal::core::ImportDeclarationElementInfo;0;533.714; 0.00382679 ; 0.00771314 ; 0.1256 ; 0.00106076
org::eclipse::jdt::internal::formatter::comment::SubstitutionTextReader;0;317.525; 0.00223339 ; 0.00797677 ; 0.0850172 ; 0.0117179
